"","ImageNumber","avg_Intensity"
"1",1,0.647999576012224
"2",2,0.654382277224131
"3",3,0.681653318350657
"4",4,0.653416779646274
"5",5,NA
"6",6,0.621226472425825
"7",7,0.680658526843505
"8",8,0.63539486444011
"9",9,0.615576354927723
"10",10,0.633366595065013
"11",11,0.721351273934979
"12",12,0.712407798941675
"13",13,0.700403645047426
"14",14,0.649579486464239
"15",15,0.723882121187163
"16",16,0.714563723170643
"17",17,0.666751548854662
"18",18,0.750218704268775
"19",19,NA
"20",20,NA
"21",21,0.67774589173978
"22",22,0.722811697590567
"23",23,0.663800029463089
"24",24,0.682573828918476
"25",25,0.693149450010413
"26",26,0.598820931720712
"27",27,0.734576966264628
"28",28,0.625012911180229
