"","ImageNumber","avg_Intensity"
"1",1,0.566522940907148
"2",2,0.580164932925902
"3",3,0.626187512031255
"4",4,0.627356128527863
"5",5,0.613840295408962
"6",6,0.645531156713056
"7",7,0.655604783007895
"8",8,0.649472260919419
"9",9,0.632231915129721
"10",10,0.633518682300546
"11",11,0.594932278878863
"12",12,0.641476427305551
"13",13,0.58454783924446
"14",14,0.632164977856861
"15",15,0.633037742078819
"16",16,0.626890497035025
"17",17,0.623044697580452
"18",18,0.608522683786823
"19",19,0.65279344576544
"20",20,0.600916786679326
"21",21,0.626355323085609
"22",22,0.617618849534874
"23",23,0.623522058505735
"24",24,0.618173373257246
"25",25,0.610151048598745
"26",26,0.628709917234462
"27",27,0.67079035267668
"28",28,NA
"29",29,0.593990659564362
"30",30,0.603104877222906
"31",31,0.640609328989887
"32",32,NA
"33",33,NA
"34",34,0.620371319965859
